score,azimuth_deg,elevation_deg,frame0_score,frame0_pred_to_observed_p90_m,frame0_pred_to_observed_median_m,frame0_observed_to_predicted_p90_m,frame0_pred_boundary_support_0p35m,frame0_iou_diagnostic
-0.25851776758856376,175.0,15.0,-0.25851776758856376,0.37708022996638696,0.16034566153645446,0.22309974357428408,0.8817567567567568,0.24366519089949085
-0.2447257441340548,176.0,15.0,-0.2447257441340548,0.3644882286107075,0.14476484938574424,0.20716463631690946,0.8905191873589164,0.26113197355231105
-0.230228062503856,177.0,15.0,-0.230228062503856,0.352822357100698,0.12573457227295096,0.18974236615147122,0.8977011494252873,0.28103477329680426
-0.2130885478107902,178.0,15.0,-0.2130885478107902,0.3420707446111031,0.10155225230642095,0.1663122769707396,0.9070588235294118,0.3017504799336612
-0.1897706417333534,179.0,15.0,-0.1897706417333534,0.32731596626802417,0.0694831199991306,0.13144414013989406,0.9138755980861244,0.3163617108901571
-0.17029860137479177,180.0,15.0,-0.17029860137479177,0.3153776759362207,0.045431270768661935,0.09620739692187241,0.912621359223301,0.33177467936261174
-0.1527805903612691,181.0,15.0,-0.1527805903612691,0.29939518068169213,0.04008641538411384,0.057991680922350825,0.9149700598802395,0.3263114718972494
-0.16578463271438668,182.0,15.0,-0.16578463271438668,0.29454163078205337,0.0756342629674856,0.08098674064611962,0.9118727050183598,0.2990630385707697
-0.19000987317268805,183.0,15.0,-0.19000987317268805,0.3166219386515372,0.08853220946801596,0.12809626098226673,0.9079601990049752,0.2626528871899767
-0.2158073093426561,184.0,15.0,-0.2158073093426561,0.34377859238765196,0.0988798246141469,0.17455523726327837,0.9006289308176101,0.22245757766729687
-0.25671634453533926,185.0,15.0,-0.25671634453533926,0.3945767531243036,0.12560410153688917,0.22448392615103652,0.8863636363636364,0.18065370773612904
-0.2549956618246501,175.0,16.0,-0.2549956618246501,0.3720633667656073,0.15767323384418042,0.22062455935045863,0.8840413318025259,0.23385350244626335
-0.24249919805464978,176.0,16.0,-0.24249919805464978,0.36314450210966526,0.14206628037562075,0.20333036292869586,0.8910776361529548,0.2507337343445791
-0.22883316655122668,177.0,16.0,-0.22883316655122668,0.3528083949379258,0.12504748659050618,0.1849564808923734,0.8979118329466357,0.26958686215584493
-0.21265564260251923,178.0,16.0,-0.21265564260251923,0.3441953685112698,0.09904550498380636,0.16233891100443384,0.9036860879904876,0.2878638550851433
-0.19212154641625584,179.0,16.0,-0.19212154641625584,0.33423531261453987,0.06898405382750508,0.12867203847520453,0.9098660170523751,0.30320799899630707
-0.17220103327412312,180.0,16.0,-0.17220103327412312,0.32384104338374176,0.04275884307638789,0.09198939616721506,0.9102244389027432,0.32108828954865204
-0.15460040861838675,181.0,16.0,-0.15460040861838675,0.30933274226514684,0.0347415599995653,0.05370919116540638,0.9124537607891492,0.3225526174389226
-0.16584936438409523,182.0,16.0,-0.16584936438409523,0.30301824486700674,0.06778523418571615,0.07482797538367869,0.9101123595505618,0.3027549590402078
-0.19081201613752774,183.0,16.0,-0.19081201613752774,0.3227592784670669,0.09144801119063231,0.11772617473329121,0.905852417302799,0.2744485894936152
-0.21516464503591654,184.0,16.0,-0.21516464503591654,0.34715389816625325,0.10149826197570327,0.1639207994482108,0.900516795865633,0.24290226073056065
