score,azimuth_deg,elevation_deg,frame0_score,frame0_pred_to_observed_p90_m,frame0_pred_to_observed_median_m,frame0_observed_to_predicted_p90_m,frame0_pred_boundary_support_0p35m,frame0_iou_diagnostic
-0.7491225513840917,0.0,20.0,-0.7491225513840917,1.6971879953046412,0.05727769143263804,0.06661751049257984,0.6072644721906924,0.23417969068300712
-0.8162701453261052,5.0,20.0,-0.8162701453261052,1.731459565498619,0.15932835949461602,0.1617604365062188,0.565858798735511,0.23119999435064156
-0.8896545948430817,10.0,20.0,-0.8896545948430817,1.7942770419730567,0.26843999621984194,0.23880736349331905,0.5486806187443131,0.25137386458090405
-0.973735054787977,15.0,20.0,-0.973735054787977,1.9081448599035296,0.3493144521300925,0.2932651321157649,0.5016778523489933,0.21376218913732403
-1.074676348283989,20.0,20.0,-1.074676348283989,2.061132952356524,0.4368429480269352,0.34332830921271884,0.4481964696853415,0.16607715752325955
-1.169479062908116,25.0,20.0,-1.169479062908116,2.180562395033758,0.5049505894887032,0.3884381855199313,0.2609308885754584,0.12743910236994258
-1.1838134077472067,30.0,20.0,-1.1838134077472067,2.1755277771480497,0.4879270853053246,0.4366478481029763,0.17541436464088397,0.10141616630385379
-1.203803682956041,35.0,20.0,-1.203803682956041,2.185108577246906,0.5085638768221524,0.47719172522436004,0.1667864845434939,0.08206117002696622
-1.2063725236902358,40.0,20.0,-1.2063725236902358,2.170511094954395,0.4970022208247672,0.5165632207912819,0.15223274695534506,0.06419397803679078
-1.2283313684384116,45.0,20.0,-1.2283313684384116,2.1808987105269457,0.533683349297606,0.5500911932626444,0.1497175141242938,0.05551238591916558
-1.2421347031754437,50.0,20.0,-1.2421347031754437,2.1797220023907515,0.5638822430698651,0.5795047389620136,0.15600843288826424,0.05095901100706424
-1.2566016544827032,55.0,20.0,-1.2566016544827032,2.178378324777855,0.5937209674876274,0.6112915117909301,0.16002795248078266,0.04705168346449095
-1.269345135616137,60.0,20.0,-1.269345135616137,2.1787142441810796,0.6207039181467022,0.6331551072460316,0.15605318404478657,0.04360470977237444
-1.280279067521466,65.0,20.0,-1.280279067521466,2.1777072799851322,0.6420214227900272,0.6563659867760707,0.154006968641115,0.039046200449366075
-1.2565971777507625,70.0,20.0,-1.2565971777507625,2.0933007991901236,0.660089639991738,0.6773638130683602,0.1508650519031142,0.034179670391550815
-1.2280022742381373,75.0,20.0,-1.2280022742381373,2.003473468052726,0.6716325452232941,0.6947637542261095,0.14986187845303867,0.029476877562021286
-1.195282009705323,80.0,20.0,-1.195282009705323,1.905499972727125,0.6821842370515596,0.7106410829753934,0.15124309392265192,0.02552404933763374
-1.1361540985392644,85.0,20.0,-1.1361540985392644,1.7548860947887264,0.673610009144927,0.7199280428495264,0.14184852374839538,0.02194155088974202
-1.117517899726769,90.0,20.0,-1.117517899726769,1.7030765552723497,0.6762818115870768,0.726121184894602,0.14313471502590674,0.018520408290253452
-1.0961739142436837,95.0,20.0,-1.0961739142436837,1.649020441927137,0.675553281684418,0.7295255432882253,0.14703968770331816,0.015377316296298127
-1.0442143092386347,100.0,20.0,-1.0442143092386347,1.528339379842561,0.6629228497789205,0.7305941229117446,0.1550068587105624,0.01269729300767128
-1.0160334724548141,105.0,20.0,-1.0160334724548141,1.4722601444423362,0.6522357740299684,0.7213722880195197,0.1627260083449235,0.01014946915685059
-0.9658082914244978,110.0,20.0,-0.9658082914244978,1.3645012244778896,0.6407861756003843,0.7096778996050307,0.1760821716801174,0.00803126776029977
-0.8178687698716821,115.0,20.0,-0.8178687698716821,1.0324767980213938,0.6102814780493281,0.6926863073252564,0.20863895680521596,0.006572695406571252
-0.7829374315837392,120.0,20.0,-0.7829374315837392,0.974512551586244,0.5879340923003333,0.6724819341198579,0.2197159565580618,0.005559648844007185
-0.7446002350425783,125.0,20.0,-0.7446002350425783,0.9138982868366362,0.5612098153775911,0.6464593326329099,0.2287636669470143,0.004048700217635733
-0.7103513873120115,130.0,20.0,-0.7103513873120115,0.8668489479362352,0.535986581515092,0.6174948915968739,0.247585601404741,0.0045422009778349325
-0.6688976548162644,135.0,20.0,-0.6688976548162644,0.8032947166302867,0.510465810252738,0.5826504652010638,0.256993006993007,0.005813939279892666
-0.6148847913575859,140.0,20.0,-0.6148847913575859,0.7182654239613913,0.47212619629167457,0.5475261515814279,0.2733446519524618,0.008261481829186946
-0.5883455495583019,145.0,20.0,-0.5883455495583019,0.7101784616298111,0.4360759393555981,0.5071375587578839,0.31529209621993126,0.021606714202789812
-0.5469133114290621,150.0,20.0,-0.5469133114290621,0.6733032191220507,0.3943465331065206,0.46468189045005615,0.3716508210890233,0.04058756230027748
-0.4972661768946882,155.0,20.0,-0.4972661768946882,0.6245295233432204,0.3527604553802002,0.41639350774039524,0.4483412322274882,0.06260625180817501
-0.4143206021636975,160.0,20.0,-0.4143206021636975,0.5558792859718066,0.30465675691926375,0.36626139052952006,0.757606490872211,0.08848201698686954
-0.3565050326369298,165.0,20.0,-0.3565050326369298,0.48830859227381895,0.2538806307660533,0.314716719885491,0.8096774193548387,0.11878122406090771
-0.31267374898446376,170.0,20.0,-0.31267374898446376,0.45174409097002566,0.2004729706401404,0.2604610925019377,0.8325740318906606,0.15417605485267383
-0.2694189888935599,175.0,20.0,-0.2694189888935599,0.41726396529979826,0.14965595076735738,0.20557768355600875,0.8629500580720093,0.20985928075102053
-0.19695067686718426,180.0,20.0,-0.19695067686718426,0.38345081379719714,0.04810369846093643,0.07764829516757919,0.8786764705882353,0.2917633678837921
-0.23830729111026852,185.0,20.0,-0.23830729111026852,0.385797031584729,0.1364140594464961,0.1506387555579126,0.8777472527472527,0.27097485472743643
-0.387771005977279,190.0,20.0,-0.387771005977279,0.5088880137970657,0.26679230296290984,0.35276045538019973,0.7067238912732475,0.18743330086726348
-0.593469902994051,195.0,20.0,-0.593469902994051,0.708384438155325,0.4116829338467456,0.5671996561769835,0.346045197740113,0.14546873406552477
-0.6779478449409352,200.0,20.0,-0.6779478449409352,0.743390096002539,0.5588112527413002,0.6547447846071894,0.22797202797202798,0.09084684063810142
-0.6995556218343462,205.0,20.0,-0.6995556218343462,0.7383732809635383,0.6253480799921727,0.6574172122994635,0.164850136239782,0.029125735639642866
-0.7175129887678814,210.0,20.0,-0.7175129887678814,0.7327246028917161,0.6434499813199194,0.6574172122994635,0.007936507936507936,0.008613268392389389
-0.7153923979920708,215.0,20.0,-0.7153923979920708,0.7250608161442046,0.6440550738380924,0.6574172122994635,0.0,0.006968937638882323
-0.7160929265072343,220.0,20.0,-0.7160929265072343,0.7238551298682173,0.6461138582480517,0.660089639991738,0.0,0.006604904420578572
