score,azimuth_deg,elevation_deg,frame0_score,frame0_pred_to_observed_p90_m,frame0_pred_to_observed_median_m,frame0_observed_to_predicted_p90_m,frame0_pred_boundary_support_0p35m,frame0_iou_diagnostic
-0.271604570534245,175.0,15.0,-0.271604570534245,0.37708022996638696,0.15500080615190637,0.2807918107415572,0.8817567567567568,0.07356800565064635
-0.265094481294416,176.0,15.0,-0.265094481294416,0.3644882286107075,0.13943738819393184,0.29396704615016667,0.8905191873589164,0.07443330566375071
-0.26239766525223895,177.0,15.0,-0.26239766525223895,0.352822357100698,0.12346402634504461,0.3206913230729094,0.8977011494252873,0.07453300166058674
-0.2584057986594331,178.0,15.0,-0.2584057986594331,0.3420707446111031,0.09904550498380636,0.3500880276879257,0.9070588235294118,0.07222141336827582
-0.25161606993651886,179.0,15.0,-0.25161606993651886,0.32731596626802417,0.0694831199991306,0.37882585295255583,0.9138755980861244,0.05926704246950743
-0.24736627723010307,180.0,15.0,-0.24736627723010307,0.3153776759362207,0.045431270768661935,0.4044781003431176,0.912621359223301,0.06311916634231958
-0.2457915581343519,181.0,15.0,-0.2457915581343519,0.29939518068169213,0.04008641538411384,0.4300355520146821,0.9149700598802395,0.07133218240895008
-0.2593093285863637,182.0,15.0,-0.2593093285863637,0.29454163078205337,0.0756342629674856,0.4550855241340278,0.9118727050183598,0.07544203110789105
-0.27822768063775793,183.0,15.0,-0.27822768063775793,0.3166219386515372,0.08853220946801596,0.4809674908425463,0.9079601990049752,0.07566075754843464
-0.299249666080012,184.0,15.0,-0.299249666080012,0.34377859238765196,0.0988798246141469,0.508324664212702,0.9006289308176101,0.0769519279877426
-0.33457141612800323,185.0,15.0,-0.33457141612800323,0.3945767531243036,0.12560410153688917,0.5359042125216924,0.8863636363636364,0.07777004161336809
-0.26965753676293386,175.0,16.0,-0.26965753676293386,0.3720633667656073,0.15232837845963187,0.28461691448814225,0.8840413318025259,0.06729601105625091
-0.2650820855975318,176.0,16.0,-0.2650820855975318,0.36314450210966526,0.1367741665666085,0.2989540269092361,0.8910776361529548,0.06892699417559335
-0.26181595296083304,177.0,16.0,-0.26181595296083304,0.3528083949379258,0.12148011096917914,0.3204550021521261,0.8979118329466357,0.06986081208114747
